o_reward: 0.02, reward: 0.02, Epoch: 838   , params: 0.63, delay: 1.00,flops: 1.00, mo_params_coe: 0.87, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 8.75    , genotype: [[2, [0, 0, 9, 9], [0, 2, 5, 5], [4, 7, 5, 7]], [[3, 2], [2, 2], [3, 1]]]
o_reward: 0.06, reward: 0.09, Epoch: 1232  , params: 0.31, delay: 1.00,flops: 1.00, mo_params_coe: 1.33, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 9.58    , genotype: [[9, [0, 0, 3, 7], [4, 1, 2, 2], [4, 4, 10, 7]], [[1, 2], [2, 4], [1, 2]]]
o_reward: 0.09, reward: 0.08, Epoch: 18    , params: 0.55, delay: 1.00,flops: 1.00, mo_params_coe: 0.95, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 9.00    , genotype: [[9, [1, 0, 0, 1], [1, 2, 8, 2], [3, 6, 1, 8]], [[2, 3], [1, 3], [2, 4]]]
o_reward: 0.13, reward: 0.19, Epoch: 8     , params: 0.29, delay: 1.00,flops: 1.00, mo_params_coe: 1.39, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 11.02   , genotype: [[9, [1, 1, 9, 7], [4, 2, 8, 0], [0, 4, 9, 4]], [[2, 0], [4, 1], [3, 1]]]
o_reward: 0.17, reward: 0.19, Epoch: 28    , params: 0.42, delay: 1.00,flops: 1.00, mo_params_coe: 1.12, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 9.20    , genotype: [[2, [0, 0, 9, 2], [1, 0, 9, 7], [6, 5, 2, 1]], [[1, 2], [1, 4], [1, 4]]]
o_reward: 0.15, reward: 0.21, Epoch: 51    , params: 0.31, delay: 1.00,flops: 1.00, mo_params_coe: 1.34, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 13.04   , genotype: [[10, [1, 0, 4, 8], [2, 3, 0, 9], [4, 7, 8, 4]], [[3, 2], [0, 4], [0, 4]]]
o_reward: 0.22, reward: 0.19, Epoch: 61    , params: 0.66, delay: 1.00,flops: 1.00, mo_params_coe: 0.84, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 10.11   , genotype: [[5, [1, 1, 0, 1], [0, 1, 2, 2], [5, 4, 5, 7]], [[2, 1], [1, 4], [3, 1]]]
o_reward: 0.24, reward: 0.30, Epoch: 66    , params: 0.34, delay: 1.00,flops: 1.00, mo_params_coe: 1.27, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 17.04   , genotype: [[8, [1, 1, 4, 3], [1, 4, 7, 8], [6, 5, 10, 2]], [[0, 2], [0, 4], [0, 4]]]
o_reward: 0.27, reward: 0.30, Epoch: 92    , params: 0.43, delay: 1.00,flops: 1.00, mo_params_coe: 1.09, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 14.28   , genotype: [[8, [1, 1, 2, 9], [0, 3, 0, 4], [3, 0, 0, 1]], [[0, 2], [0, 0], [0, 2]]]
o_reward: 0.28, reward: 0.31, Epoch: 72    , params: 0.41, delay: 1.00,flops: 1.00, mo_params_coe: 1.13, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 16.43   , genotype: [[10, [1, 0, 10, 4], [0, 2, 1, 2], [7, 6, 0, 4]], [[1, 0], [1, 0], [5, 0]]]
o_reward: 0.31, reward: 0.34, Epoch: 840   , params: 0.43, delay: 1.00,flops: 1.00, mo_params_coe: 1.09, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 11.85   , genotype: [[2, [1, 0, 2, 7], [3, 2, 0, 9], [1, 4, 7, 5]], [[0, 0], [2, 2], [3, 2]]]
