o_reward: 0.37, reward: 0.37, Epoch: 0     , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 57.80   , genotype: [[4, [0, 1, 4, 4], [2, 4, 6, 0], [6, 4, 1, 3]], [[3, 3], [1, 0], [1, 3]]]
o_reward: 0.54, reward: 0.54, Epoch: 1     , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 60.84   , genotype: [[6, [0, 0, 6, 0], [2, 2, 10, 2], [6, 6, 2, 4]], [[1, 3], [0, 2], [1, 1]]]
o_reward: 0.44, reward: 0.44, Epoch: 2     , params: 0.46, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 33.32   , genotype: [[10, [1, 1, 8, 10], [4, 3, 9, 2], [0, 4, 7, 1]], [[3, 2], [2, 0], [2, 3]]]
o_reward: 0.56, reward: 0.56, Epoch: 3     , params: 0.72, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 89.21   , genotype: [[5, [0, 1, 6, 8], [0, 2, 5, 8], [4, 5, 0, 9]], [[2, 0], [1, 1], [0, 1]]]
o_reward: 0.54, reward: 0.54, Epoch: 4     , params: 0.49, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 55.16   , genotype: [[4, [1, 0, 1, 4], [1, 1, 0, 9], [4, 0, 4, 3]], [[1, 0], [2, 4], [1, 2]]]
o_reward: 0.42, reward: 0.42, Epoch: 5     , params: 0.72, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 22.69   , genotype: [[1, [0, 1, 1, 10], [0, 2, 8, 7], [5, 4, 6, 3]], [[1, 0], [1, 1], [0, 3]]]
o_reward: 0.56, reward: 0.56, Epoch: 6     , params: 0.58, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 58.36   , genotype: [[0, [0, 0, 8, 10], [1, 0, 9, 5], [0, 4, 1, 7]], [[3, 0], [4, 1], [3, 5]]]
o_reward: 0.55, reward: 0.55, Epoch: 7     , params: 0.63, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 45.30   , genotype: [[3, [1, 1, 7, 2], [3, 0, 3, 3], [4, 7, 1, 5]], [[0, 2], [2, 3], [3, 5]]]
o_reward: 0.41, reward: 0.41, Epoch: 8     , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 22.36   , genotype: [[0, [1, 0, 3, 7], [3, 3, 2, 5], [7, 0, 3, 9]], [[3, 1], [0, 0], [5, 1]]]
o_reward: 0.40, reward: 0.40, Epoch: 9     , params: 0.37, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 14.19   , genotype: [[3, [0, 1, 0, 9], [2, 4, 10, 0], [4, 7, 7, 0]], [[3, 0], [0, 1], [0, 0]]]
o_reward: 0.33, reward: 0.33, Epoch: 10    , params: 0.45, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 13.95   , genotype: [[10, [0, 0, 1, 7], [0, 2, 10, 2], [2, 3, 10, 0]], [[0, 3], [1, 4], [5, 0]]]
o_reward: 0.38, reward: 0.38, Epoch: 11    , params: 0.51, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 23.99   , genotype: [[0, [1, 1, 5, 7], [1, 0, 2, 3], [1, 0, 0, 2]], [[0, 2], [3, 4], [0, 5]]]
o_reward: 0.54, reward: 0.54, Epoch: 12    , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 49.33   , genotype: [[3, [0, 0, 3, 3], [1, 3, 0, 9], [0, 1, 7, 6]], [[1, 1], [0, 3], [1, 2]]]
o_reward: 0.37, reward: 0.37, Epoch: 13    , params: 0.66, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 30.96   , genotype: [[1, [1, 0, 1, 9], [0, 1, 9, 9], [6, 2, 1, 10]], [[1, 3], [3, 2], [2, 0]]]
